Timestamp (s),Raw Gyro (deg),Left Motor Voltage (V),Right Motor Voltage (V),Left Motor Current (A),Right Motor Current (A),Left Wheel Velocity (rad/s),Right Wheel Velocity (rad/s)
1423.08,-954.141,-0.0969697,-0.0965787,0.125,0.25,0,0
1423.1,-954.141,-0.0969697,-0.0965787,0.125,0.25,0,0
1423.12,-954.141,-0.0969697,-0.0965787,0.125,0.25,0,0
1423.14,-954.185,-0.0969697,-0.0965787,0.125,0.25,0,0
1423.16,-954.185,-0.0969697,-0.0965787,0.125,0.25,0,0
1423.18,-954.185,-0.0965787,-0.0965787,0.125,0.25,0,0
1423.21,-954.185,-0.0965787,-0.0965787,0.125,0.25,0,0
1423.23,-954.229,-0.0965787,-0.0965787,0.125,0.25,0,0
1423.25,-954.229,-0.0965787,-0.0965787,0.125,0.25,0,0
1423.27,-954.229,-0.0965787,-0.0965787,0.125,0.25,0,0
1423.29,-954.272,-0.0965787,-0.0965787,0.125,0.25,0,0
1423.31,-954.272,-0.0965787,-0.0965787,0.125,0.25,0,0
1423.33,-954.272,-0.0965787,-0.0965787,0.125,0.25,0,0
1423.35,-954.316,-0.0965787,-0.0965787,0.125,0.25,0,0
1423.37,-954.316,-0.0969697,-0.0965787,0.125,0.25,0,0
1423.39,-954.316,0,-0.0965787,0.125,0.25,0,0
1423.41,-954.36,0,0,0.125,0.125,0,0
1423.51,-954.404,0,0,0.125,0.125,0,0
1423.59,-954.448,0,0,0.125,0.125,0,0
1423.61,-954.492,0,0,0.125,0.125,0,0
1423.69,-954.536,0,0,0.125,0.125,0,0
1423.78,-954.58,0,0,0.125,0.125,0,0
1423.8,-954.58,0,0,0.125,0.125,0,0
1423.88,-954.668,0,0,0.125,0.125,0,0
1423.97,-954.712,0,0,0.125,0.125,0,0
1424.06,-954.756,0,0,0.125,0.125,0,0
1424.07,-954.8,0,0,0.125,0.125,0,0
1424.16,-954.844,0,0,0.125,0.125,0,0
1424.25,-954.888,0,0,0.125,0.125,0,0
1424.34,-954.932,0,0,0.125,0.125,0,0
1424.35,-954.976,0,0,0.125,0.125,0,0
1424.44,-955.02,0,0,0.125,0.125,0,0
1424.46,-955.02,0,0,0.125,0.125,0,0
1424.48,-955.02,0,0,0.125,0.125,0,0
1424.56,-955.107,0,0,0.125,0.125,0,0
1424.58,-955.107,0,0,0.125,0.125,0,0
1424.66,-955.151,0,0,0.125,0.125,0,0
1424.75,-955.239,0,0,0.125,0.125,0,0
1424.84,-955.283,0,0,0.125,0.125,0,0
1424.86,-955.283,0,0,0.125,0.125,0,0
1424.94,-955.327,0,0,0.125,0.125,0,0
1425.02,-955.371,0,0,0.125,0.125,0,0
1425.11,-955.459,0,0,0.125,0.125,0,0
1425.19,-955.503,0,0,0.125,0.125,0,0
1425.28,-955.547,0,0,0.125,0.125,0,0
1425.36,-955.591,0,0,0.125,0.125,0,0
1425.45,-955.635,0,0,0.125,0.125,0,0
1425.53,-955.679,0,0,0.125,0.125,0,0
1425.62,-955.767,0,0,0.125,0.125,0,0
1425.7,-955.811,0,0,0.125,0.125,0,0
